scenario,condition,t_id,expected,observed,abs_diff,rel_error,total_expected,total_observed,gdna_expected,gdna_pipeline,gdna_abs_diff,nrna_expected,nrna_pipeline,nrna_abs_diff,ctrl_observed,n_fragments,alignment_rate,n_intergenic
single_exon,gdna=50_ss=0.65_nrna=30,t_ctrl,0,16.0,16.0,0.0,110,188.07,350,234.0,116.0,40,77.93,37.93,16.0,500,1.0,169
single_exon,gdna=50_ss=0.65_nrna=50,t1,67,0.0,67.0,1.0,105,14.0,332,486.0,154.0,63,0.0,63.0,7.0,500,1.0,152
single_exon,gdna=50_ss=0.65_nrna=50,t_helper,38,7.0,31.0,0.82,105,14.0,332,486.0,154.0,63,0.0,63.0,7.0,500,1.0,152
single_exon,gdna=50_ss=0.65_nrna=50,t_ctrl,0,7.0,7.0,0.0,105,14.0,332,486.0,154.0,63,0.0,63.0,7.0,500,1.0,152
single_exon,gdna=50_ss=0.8_nrna=0,t1,89,130.0,41.0,0.46,120,152.8,380,265.0,115.0,0,82.2,82.2,5.0,500,1.0,177
single_exon,gdna=50_ss=0.8_nrna=0,t_helper,31,17.8,13.2,0.43,120,152.8,380,265.0,115.0,0,82.2,82.2,5.0,500,1.0,177
single_exon,gdna=50_ss=0.8_nrna=0,t_ctrl,0,5.0,5.0,0.0,120,152.8,380,265.0,115.0,0,82.2,82.2,5.0,500,1.0,177
single_exon,gdna=50_ss=0.8_nrna=30,t1,69,125.0,56.0,0.81,110,162.05,350,284.0,66.0,40,53.95,13.95,9.0,500,1.0,169
single_exon,gdna=50_ss=0.8_nrna=30,t_helper,41,28.05,12.95,0.32,110,162.05,350,284.0,66.0,40,53.95,13.95,9.0,500,1.0,169
single_exon,gdna=50_ss=0.8_nrna=30,t_ctrl,0,9.0,9.0,0.0,110,162.05,350,284.0,66.0,40,53.95,13.95,9.0,500,1.0,169
single_exon,gdna=50_ss=0.8_nrna=50,t1,67,139.0,72.0,1.07,105,190.16,332,259.0,73.0,63,50.84,12.16,12.0,500,1.0,152
single_exon,gdna=50_ss=0.8_nrna=50,t_helper,38,39.16,1.16,0.03,105,190.16,332,259.0,73.0,63,50.84,12.16,12.0,500,1.0,152
